Anger,Sadness,Disgust,Joy,Surprise,Fear
0.000205598,5.04E-06,2.66085,0.000426887,98.13267,0.03868906
,,,,,
0.000202153,4.97E-06,2.648656,0.000426886,98.12982,0.02974929
0.00020056,6.45E-06,2.638902,0.000426968,98.12127,0.01876258
,,,,,
0.000206234,8.56E-06,2.633545,0.000426958,97.87651,0.007145355
,,,,,
0.000215408,3.27E-05,2.600535,0.000426996,96.64729,0.000108136
,,,,,
0.000216188,4.56E-05,2.603523,0.000427109,96.52238,3.47E-05
,,,,,
0.000219378,5.86E-05,2.59598,0.000427202,96.11173,1.55E-05
,,,,,
0.000219653,6.70E-05,2.582151,0.000427342,95.61418,1.18E-05
,,,,,
0.000224876,7.17E-05,2.574742,0.000428597,95.25672,9.25E-06
,,,,,
0.000225942,7.18E-05,2.570302,0.000429614,95.06199,9.82E-06
0.00022655,7.16E-05,2.574589,0.000430176,94.67036,1.12E-05
,,,,,
0.000227972,7.16E-05,2.57834,0.000431296,94.284,1.26E-05
0.000232864,7.21E-05,2.572997,0.000436198,92.46896,1.99E-05
,,,,,
0.000241199,7.32E-05,2.57092,0.000445129,88.82915,3.93E-05
,,,,,
0.000259102,7.59E-05,2.570463,0.000464587,84.42324,6.91E-05
0.000260844,7.61E-05,2.571074,0.000466726,84.5068,6.82E-05
,,,,,
0.000280828,7.83E-05,2.571439,0.000487094,84.85868,6.11E-05
,,,,,
0.000279992,7.83E-05,2.573089,0.000486174,86.002,5.23E-05
,,,,,
0.000290555,7.94E-05,2.572976,0.000496877,85.27818,5.58E-05
,,,,,
0.000315859,8.26E-05,2.571551,0.000522296,83.00552,6.86E-05
,,,,,
0.000323621,8.36E-05,2.568396,0.000530017,81.12089,8.27E-05
,,,,,
,,,,,
0.000322083,8.33E-05,2.564028,0.000528543,80.42937,8.93E-05
,,,,,
0.000298787,8.06E-05,2.544231,0.000505198,80.56802,9.36E-05
,,,,,
0.00029398,8.11E-05,2.528301,0.000500689,78.2387,0.000118284
,,,,,
0.000274527,8.00E-05,2.487815,0.000481356,78.47205,0.000119865
,,,,,
0.000256918,8.16E-05,2.445643,0.00046396,77.29961,0.000133043
,,,,,
0.000199175,0.000102469,2.159111,0.000403526,72.32639,0.000156891
,,,,,
0.000118342,0.000158992,1.687554,0.000303027,65.50877,0.000157606
,,,,,
3.32E-05,0.000539794,0.8730883,0.00015156,43.72284,0.000155764
,,,,,
1.50E-05,0.001271672,0.5471584,9.32E-05,28.92359,0.000158512
,,,,,
1.56E-05,0.001822798,0.4523068,7.59E-05,23.91918,0.000160184
1.60E-05,0.002021434,0.4291799,7.15E-05,22.7735,0.000165298
,,,,,
1.52E-05,0.001957938,0.4290222,7.11E-05,22.9891,0.000184694
,,,,,
1.95E-05,0.0014876,0.4265574,7.02E-05,24.52328,0.000460515
,,,,,
5.99E-05,0.000470335,0.4272584,6.99E-05,31.55262,0.01478709
,,,,,
0.000264651,0.000104931,0.4291759,7.00E-05,42.19177,1.374374
0.000263685,0.000103771,0.4357661,7.03E-05,41.87418,1.288533
,,,,,
0.000324533,8.30E-05,0.4823824,7.05E-05,43.34036,2.367141
,,,,,
0.000331165,7.58E-05,0.5080916,7.43E-05,44.62092,2.680313
0.000335961,6.40E-05,0.4958816,8.04E-05,47.60206,2.774237
,,,,,
0.000231891,3.71E-05,0.3449325,0.000229305,49.68354,2.013963
,,,,,
7.65E-05,8.51E-06,0.154367,0.004052468,57.39222,0.6044855
,,,,,
8.95E-05,1.01E-05,0.3532131,0.001760459,66.09364,0.3471501
,,,,,
7.16E-05,7.38E-05,0.9316802,0.000201605,59.22347,0.02557769
,,,,,
4.29E-05,0.000155555,1.010314,0.000175488,54.14874,0.0033725
,,,,,
5.57E-05,0.000204819,1.150878,0.000200382,54.54975,0.000742423
7.92E-05,0.000137296,1.391307,0.000242987,61.35818,0.000858273
7.88E-05,0.000154791,1.372585,0.000242468,60.04926,0.000648888
,,,,,
7.36E-05,9.31E-05,1.354538,0.000233081,64.11171,0.00295994
9.87E-05,4.06E-05,1.211371,0.000202783,68.34601,0.06075665
0.000273518,1.58E-05,1.152769,0.000191079,73.63986,1.287899
,,,,,
0.000351385,8.69E-06,1.383652,0.00022904,79.87305,2.675968
0.000368713,7.24E-06,1.486414,0.000245543,81.90859,3.083244
,,,,,
0.00038189,5.46E-06,1.716596,0.000283996,85.30749,3.087537
,,,,,
0.000386397,4.73E-06,1.8625,0.000308325,87.52451,2.77787
,,,,,
0.000375566,3.95E-06,2.078965,0.000344614,90.97301,2.019312
,,,,,
0.000366581,3.64E-06,2.186083,0.000362816,91.53114,2.038788
,,,,,
0.00035654,5.57E-06,1.7743,0.000293397,86.86843,2.8872
0.000355246,4.83E-06,1.921806,0.000318756,88.39155,2.738918
,,,,,
0.000354519,5.59E-06,1.795582,0.000299425,87.24636,2.726679
,,,,,
0.000325953,5.98E-06,1.847708,0.000316189,86.33797,2.021702
0.000105554,3.31E-05,1.466863,0.000273645,72.14861,0.05185436
,,,,,
8.69E-05,9.07E-05,1.149891,0.000265812,45.29731,0.00061498
,,,,,
0.000112146,0.000114713,1.011061,0.000311856,30.46992,0.000316095
,,,,,
9.08E-05,0.000198121,0.7401466,0.000282156,19.43588,0.000353651
6.03E-05,0.000302549,0.5376891,0.000225628,14.30667,0.000355661
,,,,,
4.79E-05,0.000275998,0.5056075,0.000197498,16.72067,0.000316702
,,,,,
7.81E-05,0.000140508,0.3202795,0.00022752,23.76743,0.00029108
,,,,,
0.000129292,0.000115316,0.7890816,0.000335206,34.07127,0.000291149
,,,,,
9.93E-05,0.000410486,0.9422625,0.00028853,29.52002,0.000297485
,,,,,
0.000179665,0.000523823,1.132402,0.00040318,27.27009,0.00036861
,,,,,
0.000236184,0.000445629,1.307197,0.000468586,29.60979,0.00039019
0.00022118,0.000416253,1.329346,0.00044965,31.70255,0.000368976
,,,,,
0.000132028,0.000766271,0.9740427,0.000340382,22.1336,0.000388367
,,,,,
0.00014678,0.000775689,0.9833579,0.000362179,21.02675,0.000407875
0.000133499,0.00173517,0.7178044,0.000351754,9.94191,0.000540367
,,,,,
0.000109059,0.002833134,0.5788237,0.00031838,6.418444,0.000605758
,,,,,
5.95E-05,0.003143547,0.496921,0.000214988,7.445654,0.000482779
,,,,,
4.98E-05,0.003191022,0.4602279,0.000176033,8.11294,0.000447257
3.34E-05,0.002384948,0.4663133,0.000137033,12.14794,0.000369269
,,,,,
3.50E-05,0.00217477,0.4673935,0.000143596,11.69344,0.000366956
,,,,,
2.95E-05,0.001602495,0.4783115,0.000134188,13.94359,0.000330339
,,,,,
2.88E-05,0.001673883,0.4829073,0.000132099,14.73711,0.000311184
2.87E-05,0.001924395,0.4676597,0.000127081,14.0959,0.000311033
,,,,,
2.25E-05,0.001674656,0.4593849,0.000104317,17.65368,0.000264483
,,,,,
2.15E-05,0.001766326,0.4481219,9.88E-05,17.58309,0.000261896
2.21E-05,0.001938061,0.4302177,9.68E-05,16.28809,0.000253477
2.09E-05,0.001834142,0.4256915,9.12E-05,17.2928,0.000250235
1.92E-05,0.001765727,0.4240924,8.69E-05,17.94115,0.000229194
,,,,,
1.80E-05,0.00181562,0.4219112,8.22E-05,18.73215,0.000215359
,,,,,
1.71E-05,0.001771259,0.4232395,7.98E-05,19.19257,0.000208382
,,,,,
1.65E-05,0.001716945,0.4228948,7.76E-05,19.88637,0.000208666
,,,,,
1.63E-05,0.001690825,0.4221345,7.61E-05,20.39806,0.000214138
,,,,,
1.57E-05,0.001652518,0.4210543,7.41E-05,21.02537,0.000210734
1.58E-05,0.00172173,0.4214149,7.41E-05,20.97277,0.000214326
,,,,,
1.58E-05,0.001598716,0.4206954,7.38E-05,21.06542,0.000215636
,,,,,
1.57E-05,0.001666143,0.4231184,7.40E-05,20.85917,0.000205508
,,,,,
1.55E-05,0.001598027,0.4221974,7.34E-05,21.0825,0.000203276
1.55E-05,0.001639305,0.4233565,7.34E-05,21.05691,0.000203973
,,,,,
1.64E-05,0.001766429,0.4216845,7.46E-05,20.76857,0.000219617
1.65E-05,0.00187698,0.4223863,7.57E-05,20.32182,0.000215255
,,,,,
1.64E-05,0.001859836,0.4227405,7.56E-05,20.37155,0.00021369
1.64E-05,0.001830633,0.4225767,7.43E-05,20.90053,0.000225124
,,,,,
1.69E-05,0.001941189,0.4227161,7.70E-05,19.92664,0.000220091
,,,,,
1.70E-05,0.002032584,0.4231592,7.88E-05,19.26768,0.00020827
1.73E-05,0.00209516,0.4232377,8.03E-05,18.76793,0.000206682
,,,,,
1.77E-05,0.002180269,0.4233716,8.18E-05,18.36959,0.000208663
1.91E-05,0.002260745,0.4244853,8.60E-05,17.2685,0.00021918
,,,,,
2.78E-05,0.002765596,0.426067,0.000111206,12.41845,0.00027496
,,,,,
3.43E-05,0.003075228,0.4286966,0.000128953,10.28154,0.000312181
4.55E-05,0.003432671,0.4333425,0.000156442,8.093983,0.000372676
,,,,,
7.97E-05,0.004079903,0.4443294,0.000232057,4.924789,0.000538866
0.000183744,0.005774453,0.46139,0.000417323,2.297705,0.000937807
,,,,,
0.00019745,0.004870687,0.5069814,0.00045794,2.613602,0.000935299
0.00027415,0.004183854,0.5599728,0.000551333,2.633001,0.001021098
,,,,,
0.000468255,0.002700291,0.7318752,0.000739752,3.642512,0.001046456
,,,,,
0.001014289,0.001849289,0.9601365,0.00114239,4.171726,0.001226019
,,,,,
0.002417821,0.00066856,1.594647,0.001826288,8.914315,0.001153693
,,,,,
0.003719472,0.000345611,2.123603,0.002292961,14.70268,0.001053312
,,,,,
0.005102346,0.000273452,2.263254,0.002746921,14.38747,0.001156243
,,,,,
0.002530112,0.000161925,2.127453,0.001804077,26.23475,0.000724358
,,,,,
0.00231625,0.000142773,2.155073,0.001709604,28.83089,0.000673857
,,,,,
0.001907107,0.000123259,1.575317,0.001521972,33.19603,0.00059115
0.001683675,0.000144898,1.725519,0.001412795,36.1049,0.00054109
0.001599347,0.000140599,1.700034,0.001369959,37.33624,0.000522488
,,,,,
0.001312783,0.000132234,1.673448,0.001218292,41.60883,0.000465076
,,,,,
0.001173071,0.000122294,1.555468,0.001140507,44.06511,0.000436451
,,,,,
0.000878812,0.000110016,1.739031,0.000961351,50.51627,0.000369147
,,,,,
0.000934154,0.000108481,1.568694,0.000996389,49.15719,0.000383752
0.001359833,0.00013404,1.724474,0.001246876,40.80722,0.000481547
,,,,,
0.001878834,0.000158537,1.763451,0.001511972,34.01895,0.000588091
,,,,,
0.003404783,0.000214493,1.957189,0.002154977,23.01414,0.000856324
0.003254168,0.000210465,1.994419,0.002099323,23.56568,0.000851351
,,,,,
0.0035318,0.000214696,2.105107,0.002205442,22.20575,0.000901861
